sensor_id;categoryID;partID;X;Y;Z;distance;X_noise;Y_noise;Z_noise;distance_noise;intensity;red;green;blue
lidar;0.0;25.0;25.054630279541016;24.788923263549805;9.79611587524414;0.2985077202320099;25.057353973388672;24.778396606445312;9.785948753356934;0.3133934634897755;0.9972733257411999;0.800000011920929;0.800000011920929;0.800000011920929
lidar;0.0;25.0;25.055633544921875;24.792423248291016;9.79237174987793;0.29881933331489563;25.059898376464844;24.776512145996094;9.776456832885742;0.32172434278880546;0.996233343996436;0.800000011920929;0.800000011920929;0.800000011920929
lidar;0.0;25.0;25.056638717651367;24.795930862426758;9.788619041442871;0.2992227375507355;25.056224822998047;24.797426223754883;9.790168762207031;0.2970293130462115;0.9948900343882452;0.800000011920929;0.800000011920929;0.800000011920929
lidar;0.0;25.0;25.0575008392334;24.799959182739258;9.785401344299316;0.298957496881485;25.06511116027832;24.773483276367188;9.756999969482422;0.33852422511024904;0.9967115519747801;0.800000011920929;0.800000011920929;0.800000011920929
lidar;0.0;25.0;25.058324813842773;24.80410385131836;9.782326698303223;0.298594206571579;25.07282257080078;24.75541114807129;9.72822093963623;0.372814411202661;0.9979242084292627;0.800000011920929;0.800000011920929;0.800000011920929
lidar;0.0;25.0;25.059146881103516;24.808242797851562;9.779258728027344;0.29832252860069275;25.06148338317871;24.800670623779297;9.770544052124023;0.31010024523926777;0.9988330005729233;0.800000011920929;0.800000011920929;0.800000011920929
lidar;0.0;25.0;25.059968948364258;24.8123722076416;9.77619457244873;0.29814210534095764;25.049264907836914;24.845861434936523;9.816140174865723;0.24492949698191438;0.999437510994619;0.800000011920929;0.800000011920929;0.800000011920929
lidar;0.0;25.0;25.060789108276367;24.816499710083008;9.773134231567383;0.2980526387691498;25.06404685974121;24.806665420532227;9.760973930358887;0.314028195729382;0.999737501155198;0.800000011920929;0.800000011920929;0.800000011920929
lidar;0.0;25.0;25.061607360839844;24.820627212524414;9.770073890686035;0.2980539798736572;25.054889678955078;24.840187072753906;9.795145988464355;0.2655532360774818;0.9997330903901144;0.800000011920929;0.800000011920929;0.800000011920929
lidar;0.0;25.0;25.062427520751953;24.82475471496582;9.767013549804688;0.29814612865448;25.052932739257812;24.851411819458008;9.802454948425293;0.2527930622220385;0.9994240403134422;0.800000011920929;0.800000011920929;0.800000011920929
lidar;0.0;25.0;25.063249588012695;24.828886032104492;9.763949394226074;0.29832923412323;25.06940460205078;24.812231063842773;9.740975379943848;0.3273652545923752;0.9988106489152414;0.800000011920929;0.800000011920929;0.800000011920929
